filename,cloud_cover,clear_pixel_count_pt,count_orbit_pixels_pt,cloud_cover_pt
S2B_MSIL2A_20230102T113359_N0510_R080_T29SMD_20240810T131801,8.723855,38291381,41050792,7
S2A_MSIL2A_20230104T112451_N0510_R037_T29SMD_20240809T205239,0.002161,42426760,42427078,0
S2A_MSIL2A_20230107T113451_N0510_R080_T29SMD_20240809T201539,98.212528,---,---,---
S2B_MSIL2A_20230109T112339_N0510_R037_T29SMD_20240813T000059,52.921063,---,---,---
S2B_MSIL2A_20230112T113339_N0510_R080_T29SMD_20240810T223736,70.790684,31304541,41408635,24
S2A_MSIL2A_20230114T112421_N0510_R037_T29SMD_20240810T224203,99.916416,---,---,---
S2A_MSIL2A_20230117T113421_N0510_R080_T29SMD_20240811T054337,66.518134,---,---,---
S2B_MSIL2A_20230119T112309_N0510_R037_T29SMD_20240811T142219,59.13747,---,---,---
S2B_MSIL2A_20230122T113319_N0510_R080_T29SMD_20240810T032218,6.36985,40741974,41155104,1
S2A_MSIL2A_20230124T112341_N0510_R037_T29SMD_20240810T074036,0.002566,42427020,42427020,0
S2A_MSIL2A_20230127T113331_N0510_R080_T29SMD_20240811T185002,14.932483,40668464,40987028,1
S2B_MSIL2A_20230129T112229_N0510_R037_T29SMD_20240811T000859,0.001514,42426606,42427020,0
S2B_MSIL2A_20230201T113319_N0510_R080_T29SMD_20240814T220319,5.904795,41217167,41219342,0
S2A_MSIL2A_20230203T112301_N0510_R037_T29SMD_20240816T184345,0.003419,42425635,42427859,0
S2A_MSIL2A_20230206T113321_N0510_R080_T29SMD_20240814T202251,0.057665,40851360,40851516,0
S2B_MSIL2A_20230208T112129_N0510_R037_T29SMD_20240814T200754,63.252169,---,---,---
S2B_MSIL2A_20230211T113319_N0510_R080_T29SMD_20240814T001227,85.337734,---,---,---
S2A_MSIL2A_20230213T112151_N0510_R037_T29SMD_20240816T015423,73.367327,---,---,---
S2A_MSIL2A_20230216T113321_N0510_R080_T29SMD_20240823T050238,0.001583,41103857,41104332,0
S2B_MSIL2A_20230218T112109_N0510_R037_T29SMD_20240820T181805,94.791168,---,---,---
S2B_MSIL2A_20230221T113319_N0510_R080_T29SMD_20240814T152033,68.619931,---,---,---
S2A_MSIL2A_20230223T112111_N0510_R037_T29SMD_20240814T061741,30.508927,21519444,42427020,49
S2A_MSIL2A_20230226T113321_N0510_R080_T29SMD_20240818T170955,15.019773,16490446,40873023,60
S2B_MSIL2A_20230228T112119_N0510_R037_T29SMD_20240822T162735,21.583681,27906964,42427020,34
